69600	149201	218801
129180	218781	347961
188761	288361	477122
248340	357942	606282
307920	427522	735442
367501	497102	864603
427081	566681	993762
486661	636261	1122922
546242	705841	1252083
605821	775422	1381243
665401	845002	1510403
724982	914582	1639564
784561	984162	1768723
844141	1053742	1897883
903722	1123322	2027044
963301	1192902	2156203
1022881	1262483	2285364
1082462	1332063	2414525
1142041	1401643	2543684
1201622	1471222	2672844
1261203	1540802	2802005
1320782	1610382	2931164
1380362	1679963	3060325
1439943	1749543	3189486
1499522	1819123	3318645
1559102	1888703	3447805
1618682	1958283	3576965
1678262	2027863	3706125
1737843	2097443	3835286
1797423	2167024	3964447
1857003	2236604	4093607
1916582	2306184	4222766
1976163	2375763	4351926
2035743	2445343	4481086
2095324	2514923	4610247
2154904	2584504	4739408
2214484	2654084	4868568
2274063	2723664	4997727
2333643	2793244	5126887
2393223	2862824	5256047
2452804	2932404	5385208
2512384	3001984	5514368
2571964	3071565	5643529
2631543	3141145	5772688
2691123	3210725	5901848
2750704	3280304	6031008
2810285	3349884	6160169
2869865	3419464	6289329
2929445	3489045	6418490
2989024	3558625	6547649
3048604	3628205	6676809
3108184	3697785	6805969
3167764	3767365	6935129
3227344	3836945	7064289
3286924	3906526	7193450
3346504	3976106	7322610
3406085	4045686	7451771
3465665	4115266	7580931
3525246	4184845	7710091
3584826	4254425	7839251
3644406	4324005	7968411
3703986	4393586	8097572
3763565	4463166	8226731
3823145	4532746	8355891
3882725	4602326	8485051
3942305	4671906	8614211
4001885	4741486	8743371
4061465	4811067	8872532
4121046	4880647	9001693
4180626	4950227	9130853
4240206	5019807	9260013
4299787	5089386	9389173
4359367	5158966	9518333
4418947	5228546	9647493
4478526	5298127	9776653
4538106	5367707	9905813
4597686	5437287	10034973
4657266	5506867	10164133
4716846	5576447	10293293
4776426	5646027	10422453
4836006	5715608	10551614
4895587	5785188	10680775
4955167	5854768	10809935
5014748	5924347	10939095
5074328	5993927	11068255
5133908	6063507	11197415
5193488	6133088	11326576
5253067	6202668	11455735
5312647	6272248	11584895
5372227	6341828	11714055
5431807	6411408	11843215
5491387	6480988	11972375
5550967	6550568	12101535
5610548	6620149	12230697
5670128	6689729	12359857
5729708	6759309	12489017
5789289	6828888	12618177
5848869	6898468	12747337
5908449	6968048	12876497
5968028	7037629	13005657
6027608	7107209	13134817
6087188	7176789	13263977
6146768	7246369	13393137
6206348	7315949	13522297
6265928	7385529	13651457
6325508	7455109	13780617
6385088	7524690	13909778
6444668	7594270	14038938
6504248	7663850	14168098
